STATE/UT,YEAR,Crime Head,Number Of Cases In Which Property - Stolen,Number Of Cases In Which Property - Recovered,Value Of Property (in rupees) - Stolen,Value Of Property (in rupees) - Recovered
Andhra Pradesh,2001,DACOITY,203,95,29127698,12616493
Andhra Pradesh,2001,ROBBERY,622,293,22872277,7149310
Andhra Pradesh,2001,BURGLARY,7134,3321,147019348,51483437
Andhra Pradesh,2001,THEFTS,16435,9515,224104509,108258741
Andhra Pradesh,2001,C.B. OF TRUST,316,40,45128264,3301479
Andhra Pradesh,2001,OTHER KINDS OF PROP. OFF.,360,154,7786220,3293943
Andhra Pradesh,2001,TOTAL (MANUAL),25070,13418,476038316,186103403
Andhra Pradesh,2002,OTHER KINDS OF PROP. OFF.,491,207,20701567,5582933
Andhra Pradesh,2002,TOTAL (MANUAL),28340,14067,550010981,216606581
Andhra Pradesh,2002,C.B. OF TRUST,382,104,67143584,6462978
Andhra Pradesh,2002,THEFTS,19058,10196,241628837,122897719
Andhra Pradesh,2002,BURGLARY,7581,3166,176224716,61296964
Andhra Pradesh,2002,ROBBERY,635,294,19471642,7182440
Andhra Pradesh,2002,DACOITY,193,100,24840635,13183547
Andhra Pradesh,2003,TOTAL (MANUAL),33315,14975,660684437,268491192
Andhra Pradesh,2003,OTHER KINDS OF PROP. OFF.,195,79,2397928,1294520
Andhra Pradesh,2003,C.B. OF TRUST,296,43,44005241,9731021
Andhra Pradesh,2003,THEFTS,23042,10958,353299084,171432243
Andhra Pradesh,2003,BURGLARY,8969,3475,195788844,64794798
Andhra Pradesh,2003,DACOITY,173,94,42850011,13612142
Andhra Pradesh,2003,ROBBERY,640,326,22343329,7626468
Andhra Pradesh,2004,DACOITY,152,82,17206064,9771450
Andhra Pradesh,2004,OTHER KINDS OF PROP. OFF.,192,76,10111253,1650696
Andhra Pradesh,2004,C.B. OF TRUST,353,50,118644247,7380662
Andhra Pradesh,2004,THEFTS,23162,11810,391028586,190936570
Andhra Pradesh,2004,BURGLARY,8041,3451,216381714,61730107
Andhra Pradesh,2004,ROBBERY,563,275,22674264,11176441
Andhra Pradesh,2004,TOTAL (MANUAL),32463,15744,776046128,282645926
Andhra Pradesh,2005,ROBBERY,784,358,29807447,11824646
Andhra Pradesh,2005,BURGLARY,7894,3578,240127856,92930221
Andhra Pradesh,2005,THEFTS,23395,13716,451664136,229884092
Andhra Pradesh,2005,C.B. OF TRUST,348,47,60887542,15059030
Andhra Pradesh,2005,OTHER KINDS OF PROP. OFF.,192,104,23371050,15020857
Andhra Pradesh,2005,DACOITY,245,159,29946537,19305553
Andhra Pradesh,2005,TOTAL (MANUAL),32858,17962,835804568,384024399
Andhra Pradesh,2006,ROBBERY,669,339,42224671,18259006
Andhra Pradesh,2006,TOTAL (MANUAL),32815,16837,996024721,436102758
Andhra Pradesh,2006,OTHER KINDS OF PROP. OFF.,196,121,8118944,5074077
Andhra Pradesh,2006,C.B. OF TRUST,396,63,87652602,13934804
Andhra Pradesh,2006,THEFTS,23211,12757,514737824,241310512
Andhra Pradesh,2006,BURGLARY,8169,3450,310621897,142717661
Andhra Pradesh,2006,DACOITY,174,107,32668783,14806698
Andhra Pradesh,2007,ROBBERY,604,332,42748748,21691492
Andhra Pradesh,2007,BURGLARY,7609,3827,265927102,85999945
Andhra Pradesh,2007,THEFTS,23856,13265,514325019,301731761
Andhra Pradesh,2007,C.B. OF TRUST,278,53,63766044,10588289
Andhra Pradesh,2007,OTHER KINDS OF PROP. OFF.,254,180,10106418,6778955
Andhra Pradesh,2007,TOTAL (MANUAL),32739,17746,946145497,463292906
Andhra Pradesh,2007,DACOITY,138,89,49272166,36502464
Andhra Pradesh,2008,DACOITY,108,77,19165296,5175890
Andhra Pradesh,2008,ROBBERY,599,348,54947063,30406364
Andhra Pradesh,2008,BURGLARY,8219,3832,320442778,105204037
Andhra Pradesh,2008,THEFTS,24324,13446,721249352,397591848
Andhra Pradesh,2008,C.B. OF TRUST,329,109,76445367,10702595
Andhra Pradesh,2008,OTHER KINDS OF PROP. OFF.,663,462,15869126,11240147
Andhra Pradesh,2008,TOTAL (MANUAL),34242,18274,1208118982,560320881
Andhra Pradesh,2009,TOTAL (MANUAL),33162,17384,1399488392,637818133
Andhra Pradesh,2009,ROBBERY,536,310,52697966,32450159
Andhra Pradesh,2009,BURGLARY,7702,3416,372576517,106540830
Andhra Pradesh,2009,THEFTS,23922,13133,778827814,434869915
Andhra Pradesh,2009,DACOITY,101,51,24465809,14981520
Andhra Pradesh,2009,OTHER KINDS OF PROP. OFF.,435,314,18529965,10791957
Andhra Pradesh,2009,C.B. OF TRUST,466,160,152390321,38183752
Andhra Pradesh,2010,THEFTS,26358,15080,886949317,495913278
Andhra Pradesh,2010,ROBBERY,533,337,39143793,19902399
Andhra Pradesh,2010,TOTAL (MANUAL),36407,19848,1533054566,725079668
Andhra Pradesh,2010,C.B. OF TRUST,417,113,101817765,15315562
Andhra Pradesh,2010,BURGLARY,8126,4125,455774882,167645552
Andhra Pradesh,2010,DACOITY,133,97,30276549,18607717
Andhra Pradesh,2010,OTHER KINDS OF PROP. OFF.,840,96,19092260,7695160
Andhra Pradesh,2011,TOTAL (MANUAL),37953,21131,2045121007,1060930173
Andhra Pradesh,2011,C.B. OF TRUST,373,141,155121741,68220770
Andhra Pradesh,2011,DACOITY,125,87,57189394,33415152
Andhra Pradesh,2011,ROBBERY,596,389,60232526,37283859
Andhra Pradesh,2011,THEFTS,28160,15932,1117224157,687483983
Andhra Pradesh,2011,OTHER KINDS OF PROP. OFF.,409,210,70659593,24421436
Andhra Pradesh,2011,BURGLARY,8290,4372,584693596,210104973
Andhra Pradesh,2012,DACOITY,128,91,118748535,64274994
Andhra Pradesh,2012,BURGLARY,8391,4464,532043190,244523939
Andhra Pradesh,2012,TOTAL (MANUAL),36802,22197,2495411980,1286733205
